Product Id,Variant Id,Handle,Title,URL,Body (Html),Vendor,Type,Tags,Published,Option Fulfill Value,Custom Option,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant Sku,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Google Shopping / Mpn,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,Seo Title,Seo Description,Google Shopping / Adwords Grouping,Google Shopping / Adwords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost Per Item,Available On Listing Pages,Available On Sitemap Files,Template,Shipping Profile Name,Variant Tag,Facebook Pixel Id,Facebook Access Token,Product Stock Status,Shipping Fee,Base Cost Variant
,,patanjali-aloevera-moisturizing-cream,Patanjali Aloevera Moisturizing Cream,,,Patanjali,,cream,TRUE,,,Size,50 gm,,,,,,17,,,continue,manual,17,17,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,17,TRUE,TRUE,Default,,,,,,,
,,patanjali-footcare-cream,Patanjali Footcare Cream ,,,Patanjali,,cream,TRUE,,,Size,50 gm,,,,,,18,,,continue,manual,18,18,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,18,TRUE,TRUE,Default,,,,,,,
,,moisturizer-cream-50-g,Moisturizer Cream 50 G,,,Patanjali,,cream,TRUE,,,Size,50 gm,,,,,,19,,,continue,manual,19,19,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,19,TRUE,TRUE,Default,,,,,,,
,,sun-screen-cream-spf30--50gm,Sun Screen Cream Spf30- 50Gm,,,Patanjali,,cream,TRUE,,,Size,50 gm,,,,,,20,,,continue,manual,20,20,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,20,TRUE,TRUE,Default,,,,,,,
,,saundarya-nourishing-cream,Saundarya Nourishing Cream,,,Patanjali,,cream,TRUE,,,Size,50 gm,,,,,,21,,,continue,manual,21,21,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,21,TRUE,TRUE,Default,,,,,,,
,,patanjali-beauty-cream,Patanjali Beauty Cream,,,Patanjali,,cream,TRUE,,,Size,25 gm,,,,,,22,,,continue,manual,22,22,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,22,TRUE,TRUE,Default,,,,,,,
,,neem-kanti-body-cleanser-50-gm,Neem Kanti Body Cleanser 50 Gm,,,Patanjali,,"soap, best-selling",TRUE,,,Size,50 gm,,,,,,23,,,continue,manual,23,23,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,23,TRUE,TRUE,Default,,,,,,,
,,neem-kanti-body-cleanser-4x1-50-gm,Neem Kanti Body Cleanser-(4X1) 50 Gm,,,Patanjali,,"soap, best-selling",TRUE,,,Size,50 gm,,,,,,24,,,continue,manual,24,24,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,24,TRUE,TRUE,Default,,,,,,,
,,haldi-chandan-kanti-body-cleanser-57-gm,Haldi Chandan Kanti Body Cleanser 57 Gm,,,Patanjali,,"soap, best-selling",TRUE,,,Size,57 gm,,,,,,25,,,continue,manual,25,25,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,25,TRUE,TRUE,Default,,,,,,,
,,haldi-chandan-kanti-body-cln-4x1-57-gm,Haldi Chandan Kanti Body Cln-(4X1) 57 Gm,,,Patanjali,,soap,TRUE,,,Size,57 gm,,,,,,26,,,continue,manual,26,26,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,26,TRUE,TRUE,Default,,,,,,,
,,aloevera-kanti-body-cleanser-4x1-57-gm,Aloevera Kanti Body Cleanser-(4X1) 57 Gm,,,Patanjali,,"soap, best-selling",TRUE,,,Size,57 gm,,,,,,27,,,continue,manual,27,27,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,27,TRUE,TRUE,Default,,,,,,,
,,aloevera-kanti-body-cleanser-4x1-57gm,Aloevera Kanti Body Cleanser-(4X1) 57Gm,,,Patanjali,,"soap, best-selling",TRUE,,,Size,57 gm,,,,,,28,,,continue,manual,28,28,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,28,TRUE,TRUE,Default,,,,,,,
,,haldi-chandan-kanti-body-cln-4x1-75-gm,Haldi Chandan Kanti Body Cln-(4X1) 75 Gm,,,Patanjali,,soap,TRUE,,,Size,75 gm,,,,,,29,,,continue,manual,29,29,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,29,TRUE,TRUE,Default,,,,,,,
,,aloevera-kanti-body-cleanser-4x1-75-gm,Aloevera Kanti Body Cleanser-(4X1) 75 Gm,,,Patanjali,,"soap, best-selling",TRUE,,,Size,75 gm,,,,,,30,,,continue,manual,30,30,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,30,TRUE,TRUE,Default,,,,,,,
,,saundarya-sandal-body-cleanser-75-g,Saundarya Sandal Body Cleanser 75 G,,,Patanjali,,"soap, best-selling",TRUE,,,Size,75 gm,,,,,,31,,,continue,manual,31,31,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,31,TRUE,TRUE,Default,,,,,,,
,,germi-x-antiseptic-soap-75-gm,Germi X Antiseptic Soap 75 Gm,,,Patanjali,,soap,TRUE,,,Size,75 gm,,,,,,32,,,continue,manual,32,32,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,32,TRUE,TRUE,Default,,,,,,,
,,haldi-chndn-k.body-cnsr75g-co-sachet,Haldi Chndn K.Body Cnsr75G Co Sachet,,,Patanjali,,soap,TRUE,,,Size,75 gm,,,,,,33,,,continue,manual,33,33,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,33,TRUE,TRUE,Default,,,,,,,
,,neem-k.-body-cleanser-75g-co-sachet,Neem K. Body Cleanser 75G Co Sachet ,,,Patanjali,,"soap, best-selling",TRUE,,,Size,75 gm,,,,,,34,,,continue,manual,34,34,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,34,TRUE,TRUE,Default,,,,,,,
,,aloevera-k.-body-cnsr-75g-co-sachet,Aloevera K. Body Cnsr 75G Co Sachet,,,Patanjali,,soap,TRUE,,,Size,75 gm,,,,,,35,,,continue,manual,35,35,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,35,TRUE,TRUE,Default,,,,,,,
,,patanjali-aloevera-kanti-body-cleanser,Patanjali Aloevera Kanti Body Cleanser,,,Patanjali,,"soap, best-selling",TRUE,,,Size,75 gm,,,,,,36,,,continue,manual,36,36,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,36,TRUE,TRUE,Default,,,,,,,
,,patanjali-haldi-chandan-kanti-body-cleanser,Patanjali Haldi Chandan Kanti Body Cleanser,,,Patanjali,,"soap, best-selling",TRUE,,,Size,75 gm,,,,,,37,,,continue,manual,37,37,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,37,TRUE,TRUE,Default,,,,,,,
,,patanjali-mint-tulsi-mint-&-holy-basil-body-cleanser,Patanjali Mint Tulsi (Mint & Holy Basil) Body Cleanser,,,Patanjali,,"soap, best-selling",TRUE,,,Size,75 gm,,,,,,38,,,continue,manual,38,38,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,38,TRUE,TRUE,Default,,,,,,,
,,patanjali-mogra-body-cleanser,Patanjali Mogra Body Cleanser,,,Patanjali,,"soap, best-selling",TRUE,,,Size,75 gm,,,,,,39,,,continue,manual,39,39,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,39,TRUE,TRUE,Default,,,,,,,
,,patanjali-multani-mitti-fuller's-earth-body-cleanser,Patanjali Multani Mitti (Fuller'S Earth) Body Cleanser,,,Patanjali,,"soap, best-selling",TRUE,,,Size,75 gm,,,,,,40,,,continue,manual,40,40,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,40,TRUE,TRUE,Default,,,,,,,
,,patanjali-neem-kanti-body-cleanser,Patanjali Neem Kanti Body Cleanser,,,Patanjali,,"soap, best-selling",TRUE,,,Size,75 gm,,,,,,41,,,continue,manual,41,41,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,41,TRUE,TRUE,Default,,,,,,,
,,patanjali-rose-body-cleanser,Patanjali Rose Body Cleanser,,,Patanjali,,"soap, best-selling",TRUE,,,Size,125 gm,,,,,,42,,,continue,manual,42,42,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,42,TRUE,TRUE,Default,,,,,,,
,,patanjali-nourishing�-aloevera-soap,Patanjali Nourishing� Aloevera Soap,,,Patanjali,,soap,TRUE,,,Size,125 gm,,,,,,43,,,continue,manual,43,43,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,43,TRUE,TRUE,Default,,,,,,,
,,patanjali-exfoliating-mud-soap,Patanjali Exfoliating Mud Soap ,,,Patanjali,,soap,TRUE,,,Size,125 gm,,,,,,44,,,continue,manual,44,44,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,44,TRUE,TRUE,Default,,,,,,,
